Name,Office,Address,Telephone,,,,
A & G LEGAL ADVOCATES,HO,85-87 Bayham StreetNW1 0AG,0207 424 7898,goldensolicitors@googlemail.com, 0207 424 7899,,519393
A A MIRSONS SOLICITORS LIMITED,HO,Ground FloorEC4Y 0HP,020 7744 7771,contact@aamirsons.com,8082800990, http//www.aamirsons.com,469881
A B LAW,HO,PO Box 645HA2 2EN,7880600224,angena@ab-law.co.uk, 020 8426 5613,,74880
A C S HARDS & CO,HO,Bank ChambersKT3 4DA,020 8942  2258,hards@acshards.co.uk, 020 8949 6128, http//www.acshards.co.uk,50639
A CITY LAW FIRM LLP,HO,2 Devonshire SquareEC2M 4UJ,0207 426 0382,enquiries@acitylawfirm.com, 0207 247 3582, http//www.acitylawfirm.com,499876
A H BROOKS & CO,HO,Derby HouseST13 6JG,01538 383201,lawyers@ahbrooks.co.uk, 01538 387074, http//www.ahbrooks.co.uk,44260
A H BROOKS & CO,BRN,73 High StreetST10 1AN,01538 754253,lawyers@ahbrooks.co.uk, 01538 755698, http//www.ahbrooks.co.uk,448422
A J  BIRD & CO,HO,1 Warwick RowSW1E 5ER,020 7808 7908,andrewbird@ajbird.com, 020 7808 7909, http//www.ajbird.com,384753
A J BALKITIS LIMITED,HO,c/o Rothera DowsonNG1 1PZ,0115 9100 600,operations@sra.org.uk, 0115 9106 220, http//www.rotheradowson.co.uk,497596
A J BOND & CO,HO,Universal HouseBR1 1QA,020 8464 2229,operations@sra.org.uk, 020 8466 6009,,47363
A J POWELL & CO,HO,60 St. James ParkTN1 2LL,01892 548784,apowell@lawdisputes.co.uk,,,421064
A M DAVIES,HO,Reynard CragHG3 2JQ,01423 772860,a.davies@amdavies.co.uk, 01423 772862, http//www.amdavies.co.uk,288736
A M STRACHAN & COMPANY,HO,67 Falkirk StreetN1 6SD,0207 729 0003,operations@sra.org.uk, 0207 739 8416,,56001
A N P SOLICITORS LIMITED,HO,290 Kiln RoadSS7 1QT,01702 556 688,d.dhillon@anpsolicitors.com, 01702 556 696, http//www.anpsolicitors.com,515338
A OLDSCHOOL & CO,HO,116-118 Islington High StreetN1 8EG,020 7359 8345,oldschool.uk@virgin.net, 020 7354 5477,,58493
A V A MITCHELL & CO,HO,39 Forest ApproachIG8 9BP,020 8504 7766,operations@sra.org.uk, 020 8504 9907,,52337
A V RILLO SOLICITORS LLP,HO,Gorray HouseEN1 3PN,0208 370 3874,avp@avrillo.co.uk, 0208 362 1705, http//www.avrillo.co.uk,471421
