Name,Office,Address,Telephone,Email,Fax,WebSite,Id
3C LEGAL SERVICES LIMITED,HO,29 Sandpit LaneAL1 4EW,07595 895 527,cecilia.nwobi@3cls.com,, http//www.3cls.com,508013
A N P SOLICITORS LIMITED,HO,290 Kiln RoadSS7 1QT,01702 556 688,d.dhillon@anpsolicitors.com, 01702 556 696, http//www.anpsolicitors.com,515338
A S CROXSON,HO,216 Sheen LaneSW14 8LB,0208 998 3097,tony@croxson.com, 0208 998 3097,,468163
A.SEELHOFF SOLICITORS,HO,1 Lyric SquareW6 0NB,020 3178 4337,Adrian@seelhoff.com, 020 3008 6161, http//www.seelhoff.com,515063
AARON & PARTNERS LLP,HO,Grosvenor CourtCH1 1HG,01244 405555,simoncarter@aaronandpartners.com, 01244 405566, http//www.aaronandpartners.com,401104
ABRAHAMSON & ASSOCIATES(INC FRANCIS & SOLOMONS),HO,10a North End RoadNW11 7PH,020 8458 1100,barry@abrahamsons.co.uk, 020 8458 1588, http//www.abrahamsons.co.uk,48568
ACCULEGAL SOLICITORS,HO,61 Grand ParadeN4 1AF,0208 802 7775,info@acculegal.com, 0208 809 4124, http//www.acculegal.com,491251
ACR SOLICITORS LLP,HO,Suite 53E1 6EX,0207 456 1353,info@acrsolicitors.co.uk, 0800 066 4586, http//www.acrsolicitors.co.uk,426627
ACTONS,HO,20 Regent StreetNG1 5BQ,0115 9100 200,enquiries@actons.co.uk, 0115 9100 290, http//www.actons.co.uk,62882
ADDLESHAW GODDARD LLP,HO,Milton GateEC1Y 4AG,020 7606 8855,operations@sra.org.uk, 020 7606 4390, http//www.addleshawgoddard.com,440721
ADDLESHAW GODDARD LLP,BRN,100 Barbirolli SquareM2 3AB,0161 934 6000,operations@sra.org.uk, 0161 934 6060,,440725
ADDLESHAW GODDARD LLP,BRN,Sovereign HouseLS1 1HQ,0113 209 2000,operations@sra.org.uk, 0113 209 2060,,440726
ADDLESHAW GODDARD LLP,BRN,40 Lime StreetEC3M 7AW,0207 606 8855,operations@sra.org.uk, 020 7606 4390,,496593
ADLEX SOLICITORS,HO,76a Belsize LaneNW3 5BJ,020 7317 8404,adamt@adlexsolicitors.co.uk, 020 7317 8405, http//www.adlexsolicitors.co.uk,344672
ADRIAN FORSTER LIMITED,HO,c/o ActonsNG1 5BQ,0115 9100 200,adrian.forster@actons.co.uk,, http//www.actons.co.uk,380595
ALAN LOWE & CO,HO,Eaton MewsHP7 0DD,01494 787 598,alan.lowe@alan-lowe.co.uk, 01494 723 305, http//www.alan-lowe.co.uk,53427
ALDERSON DODDS,HO,4-8 Stanley StreetNE24 2BU,01670 352293,aldersondodds@aldersondodds.co.uk, 01670 354166, http//www.aldersondodds.co.uk,61457
ALFRED PLACE  LIMITED,HO,50 BroadwaySW1H 0BL,020 7227 7000,enquirieslondon@bdlb-law.co.uk, 020 7222 3480, http//www.bdb.law.co.uk,204864
ALLEN & OVERY LLP,HO,One Bishops SquareE1 6AD,0203 088 0000,operations@sra.org.uk, 0203 088 0088,,401323
ALLEN & OVERY LLP,BRN,40 Bank StreetE14 5DU,020 3088 0000,operations@sra.org.uk, 020 3088 0088,,402513
ALLENS,HO,15 Landport TerracePO1 2QS,023 9282 2411,allens@allens-law.co.uk, 023 9229 3773, http//www.allens-law.co.uk,46075
ALSTERS KELLEY,HO,Hamilton HouseCV32 4LY,0844 561 0100,enquiries@alsterskelley.com, 0844 561 0299, http//www.alsterskelley.com,70372
ALSTERS KELLEY,BRN,3 Dugdale StreetCV11 5QJ,0844 561 0100,enquiries@alsterskelley.com, 0844 561 0399, http//www.alsterskelley.com,345741
ALSTERS KELLEY,BRN,1 Manor TerraceCV1 2NU,0844 561 0100,enquiries@alsterskelley.com, 0844 561 0199, http//www.alsterskelley.com,384860
ALTMORE BUSINESS LAW,HO,30A High Street EastLE15 9PZ,0845 094 9000,info@altmorebusinesslaw.com, 01572 801100, http//www.altmorebusinesslaw.com,472708
AMANDA DOYLE LAW SERVICES LIMITED,HO,12 Knole ParkBS32 4BS,,amanda@doylelaw.co.uk,,,523773
ANDERSON & COMPANY,HO,76 Wallingford RoadOX10 7EU,01865 858 878,enquiries@andersonsolicitors.com, 01865 858 900, http//www.andersonsolicitors.com,78909
ANDREW HOLLAND LAW LIMITED,HO,Suite 1 The BakeryBD20 6RB,01535 658274,mail@andrewhollandlaw.co.uk, 01535 655120, http//www.andrewhollandlaw.co.uk,389025
ANDREW SUTTON LIMITED,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651,mailbox@abg-law.com, 0115 947 5244, http//www.abg-law.com,518217
ANSONS LLP,HO,St. Marys ChambersWS13 6LQ,01543 263456,operations@sra.org.uk, 01543 250942, http//www.ansonsllp.com,401970
ANSONS LLP,BRN,Commerce HouseWS11 7FJ,01543 466660,operations@sra.org.uk, 01543 571682, http//www.ansonsllp.com,401971
ANTHONY COLLINS SOLICITORS LLP,HO,134 Edmund StreetB3 2ES,0121 200 3242,operations@sra.org.uk, 0121 212 7442, http//www.anthonycollins.com,424137
ANTHONY GOLD SOLICITORS INCORPORATING WALLACE & CO,HO,53 Tooley StreetSE1 2QN,020 7940 4000,mail@anthonygold.co.uk, 020 7378 8025, http//www.anthonygold.co.uk,48050
ANTINGHAMS SOLICITORS,HO,HollywellSL6 3PH,01628 825 395,mark@antinghams.com, 01628 825 819, http//www.antinghams.com,443888
ARCHERS LAW LIMITED LIABILITY PARTNERSHIP,HO,Lakeside HouseTS18 3NB,01642 636500,enquiries@archerslaw.co.uk, 01642 636501, http//www.archerslaw.co.uk,400107
ARMSTRONG JAMES LLP,HO,39 Castle StreetRG1 7SL,0118 957 0548,jwaby@pitmans.com, 0118 957 0556, http//www.claimscorporation.com,447268
ARNOLD & PORTER (UK) LLP,HO,International Financial CentreEC2N 1HQ,020 7786 6100,operations@sra.org.uk, 020 7786 6299, http//www.arnoldporter.com,259382
ARUAN CONSULTING LIMITED,HO,51 Montpelier WalkSW7 1JH,0207 225 2696,cchia123@hotmail.com,,,496435
ASB ASPIRE LIMITED LIABILITY PARTNERSHIP,HO,Westbrook HouseME14 5DZ,01622 356 000,info@asb-aspire.com, 01622 356 099, http//www.asb-aspire.com,464040
ASB ASPIRE LIMITED LIABILITY PARTNERSHIP,BRN,Innovis HouseRH10 1AS,01293 603603,info@asb-aspire.com, 01293 603666, http//www.asb-aspire.com,497217
ASB LAW,HO,Innovis HouseRH10 1AS,01293 603603,crawley@asb-law.com, 01622 656 690, http//www.asb-law.com,309894
ASB LAW,BRN,Horizon HouseME14 3EN,01622 656500,maidstone@asb-law.com, 01622 656690,,309898
ASB LAW,BRN,18 London RoadRH12 1AY,01403 246800,horsham@asb-law.com, 01403 246838,,309899
ASB LAW,BRN,95 Queens RoadBN1 3XE,01273 828000,brighton@asb-law.com, 01273 828082,,309900
ASB LAW,BRN,44-46 Old SteineBN1 1NH,01273 229900,operations@sra.org.uk, 01273 220025,,523423
ASHFORDS LLP,HO,Ashford HouseEX1 3LH,01392 337 000,info@ashfords.co.uk, 01392 337 001, http//www.ashfords.co.uk,508761
ASHFORDS LLP,BRN,Gotham HouseEX16 6LT,01884 203000,info@ashfords.co.uk, 01884 203 001, http//www.ashfords.co.uk,512002
ASHFORDS LLP,BRN,Blackbrook Park AvenueTA1 2PX,01823 284 444,info@ashfords.co.uk, 01823 232 301, http//www.ashfords.co.uk,512005
ASHFORDS LLP,BRN,Princess CourtPL1 2EX,01752 521500,info@ashfords.co.uk, 01752 526 001, http//www.ashfords.co.uk,512006
ASHFORDS LLP,BRN,Bull WharfBS1 6QR,0117 321 8000,operations@sra.org.uk, 0117 321 8001, http//www.ashfords.co.uk,512013
ASHFORDS LLP,BRN,1 Northumberland AvenueWC2N 5BW,0208 938 6323,info@ashfords.co.uk, 0208 938 6995, http//www.ashfords.co.uk,512014
ASHTON BOND GIGG,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651,mailbox@abg-law.com, 0115 947 5244, http//www.abg-law.com,69727
ASHTON GRAHAM,HO,Waterfront HouseIP4 1AS,01473 232425,lawyers@ashtongraham.co.uk, 01473 230505, http//www.ashtongraham.co.uk,50075
ASHURST LLP,HO,Broadwalk HouseEC2A 2HA,020 7638 1111,operations@sra.org.uk, 020 7638 1112, http//www.ashurst.com,468653
ASLAN CHARLES KOUSETTA LLP,HO,Welbeck HouseW1T 3PY,020 3326 2280,s.charles@ackmedialaw.com, 020 7580 9290, http//www.ackmedialaw.com,489375
ASPELL & CO LIMITED,HO,29 Milverton CrescentCV32 5NJ,01926 337 613,jayne.aspell@aspell-legal.com, 01926 470 095,,500004
ASTLE PATERSON LIMITED,HO,181 Horninglow StreetDE14 1NJ,01283 531366,operations@sra.org.uk, 01283 511064, http//WWW.ASTLEPATERSON.CO.UK,464444
ATKINS THOMSON,HO,41 Maiden LaneWC2E 7LJ,020 7836 9300,law@atkinsthomson.com, 020 7836 9400, http//www.atkinsthomson.com,441436
ATKINS WILSON & BELL LLP,HO,3-5 Jenner RoadGU1 3AQ,01483 302345,info@awb.co.uk, 01483 301339, http//www.awb.co.uk,423796
ATTEYS,HO,82 Cleveland StreetDN1 3DR,01302 340400,andy.tuke@atteys.co.uk, 01302 323710,,46353
ATTEYS,BRN,18-20 Ship HillS60 2HG,01709 372266,operations@sra.org.uk, 01709 820930,,46354
ATTEYS,BRN,22 Hartley StreetS64 9LX,01709 584014,operations@sra.org.uk, 01709 587157,,46356
ATTEYS,BRN,44 Duke StreetDN1 3EA,01302 340400,operations@sra.org.uk, 01302 383855,,206858
ATTEYS,BRN,31 Regent StreetS70 2HJ,01226 212345,operations@sra.org.uk, 01226 215275,,281364
ATTEYS,BRN,9 High StreetS63 7QQ,01709 872106,operations@sra.org.uk, 01709 760328,,281370
ATTEYS,BRN,The Red Brick HouseS1 4EL,0114 276 6767,operations@sra.org.uk, 0114 273 1287,,448077
ATTEYS,BRN,Richmonds HouseDN4 5JH,01302 762 900,operations@sra.org.uk, 01302 762 801, http//www.atteys.co.uk,463529
ATTEYS,BRN,19 ChurchgateDN22 6PF,01777 713355,operations@sra.org.uk, 01777 713377,,463530
AZRIGHTS SOLICITORS,HO,81 Essex RoadN1 2SF,020 7700 1414,shireen@ip-brands.com, 0870 622 0367, http//www.ip-brands.com,399685
B J MACFARLANE & CO,HO,4 Lombard StreetEC3V 9HD,0207 190 2988,b.macfarlane@bjm-co.com, 0207 190 2989, http//www.bjm-co.com,422941
B M NYMAN & CO,HO,181 Creighton AvenueN2 9BN,020 8365 3060,bernie.nyman@iname.com, 020 8883 5151, http//www.bmnyman.co.uk,291697
B P COLLINS,HO,Collins HouseSL9 8EL,01753 889995,enquiries@bpcollins.co.uk, 01753 889851, http//www.bpcollins.co.uk,45348
B P COLLINS TRUST CORPORATION LIMITED,HO,Collins HouseSL9 8EL,01753 889995,karl.wingfield@bpcollins.co.uk, 01753 889851,,486820
BACKHOUSE JONES LIMITED,HO,The PrintworksBB7 9WD,01254 828300,enquiries@backhouses.co.uk, 01254 828301, http//www.backhousejones.co.uk,408098
BAINES WILSON LLP,HO,2 Merchants DriveCA3 0JW,01228 552600,law@baineswilson.co.uk, 01228 549560, http//www.baineswilson.co.uk,471130
BAKER & MCKENZIE LLP,HO,100 New Bridge StreetEC4V 6JA,020 7919 1000,operations@sra.org.uk, 020 7919 1999, http//www.bakernet.com,421456
BAKERS SOLICITORS,HO,89 High Street WestSK13 8BB,01457 859 123,enquiries@bakers-solicitors.com, 01457 859 093, http//www.bakers-solicitors.com,365974
