Name,Office,Address,Telephone,,,,,
A & G LEGAL ADVOCATES,HO,85-87 Bayham StreetNW1 0AG,0207 424 7898,,goldensolicitors@googlemail.com, 0207 424 7899,,519393
A A BRAMMER LIMITED,HO,C/O Cartwright KingNG1 2LJ,0115 958 7444,,ck@cartwrightking.co.uk, 0115 958 8666,: http://www.cartwrightking.co.uk,486701
A A MIRSONS SOLICITORS LIMITED,HO,Ground FloorEC4Y 0HP,020 7744 7771,,contact@aamirsons.com,8082800990,: http://www.aamirsons.com,469881
A A MIRSONS SOLICITORS LIMITED,BRN,Ground FloorSE18 3JB,020 8856 5500,,contact@aamirsons.com, 020 8929 9880,: http://www.aamirsons.com,469882
A B MARSH SOLICITORS,HO,114 Chapel WalksM3 5DW,0161 839 2626,,andrew.marsh@abmsolicitors.co.uk, 0161 831 9162,: http://www.abmsolicitors.co.uk,272061
A J CASH LIMITED,HO,C/O Cartwright KingNG1 2Lj,0115 958 7444,,ck@cartwrightking.co.uk, 0115 958 8666,: http://www.cartwrightking.co.uk,486669
A JONES LAW LIMITED,HO,C/O Cartwright KingNG1 2LJ,0115 958 7444,,ck@cartwrightking.co.uk, 0115 958 8666,: http://www.cartwrightking.co.uk,486640
A PATRICK KEOGH,HO,335 Muswell Hill BroadwayN10 1BW,020 8883 4412,,kgraham@apatrickkeogh.co.uk, 020 8883 6278,,61811
AA LAW (LANCASHIRE) LTD,HO,3 Mill LaneBB2 2AU,0845 644 0786,,aa_lawsolicitors@yahoo.co.uk, 0845 644 0601,,517122
AASKELLS SOLICITORS & ADVOCATES,HO,43-45 Chase SideN14 5BP,0208 920 2400,,info@aaskellsolicitors.com, 0208 920 2450,: http://www.askellsolicitors.com,518204
ABBEY SOLICITORS,HO,Brighton HouseM14 5JQ,0161 835 9933,,nadeem.ullah@abbeysolicitors.co.uk, 0161 839 5553,: http://www.abbeysolicitors.co.uk,387568
ABBOT SMART OSIBANJO,HO,74 Camberwell Church StreetSE5 8QZ,0207 708 0077,,operations@sra.org.uk, 0207 708 0770,,514016
ABBOTT FORBES SOLICITORS,HO,Keeble CourtOX4 1JS,01865 794 855,,help@afslaw.co.uk, 01865 741 309,,388405
ABSOLUTE LAW LTD,HO,15 Broadway MarketE8 4PH,0207 812 9222,,info@absolutelaw.co.uk, 0207 812 9359,: http://www.absolutelaw.co.uk,464392
ABSOLUTE LAW LTD,BRN,10 Fitzwilliam RoadS65 1PT,0207 812 9222,,info@absolutelaw.co.uk, 01709 326155,: http://www.absolutelaw.co.uk,515991
ABV SOLICITORS,HO,Kingshott Business CentreUB3 1AN,0844 587 9996,,admin@abvsolicitors.co.uk, 0844 587 9998,: http://www.abvsolicitors.co.uk,428689
ACA LAW LTD,HO,32 Junction RoadN19 5RE,0207 272 3330,,lawyers@punatar.biz, 0207 272 3331,,508441
ACA LAW LTD,BRN,46 Camden RoadNW1 9DR,0207 272 3330,,lawyers@punatar.biz, 0207 272 3331,: http://www.punatar.biz,512711
ACA LAW LTD,BRN,Suit 210E1 8EW,0207 173 6111,,lawyers@punatar.biz, 0207 173 6115,,512717
ADAM WALKER & CO,HO,PO Box 244LS29 1AU,07904 978879,,operations@sra.org.uk, 01274 347308,: http://www.adamwalkerandco.co.uk,495327
ADDISON O'HARE,HO,Kelvin HouseWS1 1UL,01922 725515,,mail@addisonohare.co.uk, 01922 616 998,: http://www.addisonohare.co.uk,308976
ADDLESHAW GODDARD LLP,HO,Milton GateEC1Y 4AG,020 7606 8855,,operations@sra.org.uk, 020 7606 4390,: http://www.addleshawgoddard.com,440721
ADDLESHAW GODDARD LLP,BRN,100 Barbirolli SquareM2 3AB,0161 934 6000,,operations@sra.org.uk, 0161 934 6060,,440725
ADDLESHAW GODDARD LLP,BRN,Sovereign HouseLS1 1HQ,0113 209 2000,,operations@sra.org.uk, 0113 209 2060,,440726
ADDLESHAW GODDARD LLP,BRN,40 Lime StreetEC3M 7AW,0207 606 8855,,operations@sra.org.uk, 020 7606 4390,,496593
ADL SOLICITORS LIMITED,HO,Kent HouseHX1 2EF,01422 339994,,yasin.din@adl-solicitors.co.uk, 01422 383665,: http://www.adl-solicitors.co.uk,440542
AHMED & CO,HO,67a Camden High StreetNW1 7JL,020 7383 2243,,mail@ahmedco.com, 020 7383 2166,: http://www.ahmedco.com,266414
ALB LAW,HO,33 Hoghton StreetPR9 0NS,01704 500 771,,alb@alblaw.co.uk, 01704 500 303,: http://www.alblaw.co.uk,440868
ALDERSON DODDS,HO,4-8 Stanley StreetNE24 2BU,01670 352293,,aldersondodds@aldersondodds.co.uk, 01670 354166,: http://www.aldersondodds.co.uk,61457
ALDRIDGE BROWNLEE SOLICITORS LLP,HO,13 Christchurch RoadBH1 3JY,01202 294411,,operations@sra.org.uk, 01202 295944,: http://www.aldridgebrownlee.co.uk,484890
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,89 Wimborne RoadBH3 7AW,01202 526343,,operations@sra.org.uk, 01202 530875,: http://www.aldridgebrownlee.co.uk,484902
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,912 Wimborne RoadBH9 2DJ,01202 527008,,operations@sra.org.uk, 01202 532848,: http://www.aldridgebrownlee.co.uk,484903
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,277 Lymington RoadBH23 5EB,01425 282150,,operations@sra.org.uk, 01425 282110,,484916
ALEXANDER & CO,HO,56 Friar GateDE1 1DF,01332 600005,,enquiries@alexanderandcosolicitors.co.uk, 01332 600010,: http://www.alexanderandcosolicitors.co.uk,62811
ALEXANDER COUSINS CRIMINAL DEFENCE SOLICITORS,HO,Aspect CourtLS1 2NL,0113 394 4175,,simonalex@bt.connect.com, 0113 394 4176,: http://www.alexandersolicitors.com,365700
ALEXANDER JOHNSON,HO,246 Bethnal Green RoadE2 0AA,020 7739 1563,,tony@alexander-johnson.co.uk, 020 7729 9326,: http://www.alexanderjohnson.co.uk,367972
ALEXANDER JOHNSON,BRN,7-8 Albert RoadE16 2DW,020 7739 1563,,operations@sra.org.uk, 020 7729 9326,: http://www.alexander-johnson.co.uk,368934
ALEXANDER SOLICITORS LIMITED,BRN,146 Midland RoadLU2 0BL,01582 727888,,legal@alexandersolicitors.co.uk, 01582 728004,: http://www.alexandersolicitors.co.uk,525012
ALLEN & OVERY LLP,HO,One Bishops SquareE1 6AD,0203 088 0000,,operations@sra.org.uk, 0203 088 0088,,401323
ALLEN HOOLE SOLICITORS,HO,5 Portland SquareBS2 8RR,0117 9420901,,lawyers@allenhoole.co.uk, 0117 9423180,: http://www.allenhoolesolicitors.co.uk,462128
ALMY & THOMAS LIMITED,HO,71 Abbey RoadTQ2 5NL,01803 299131,,enquiries@almythomas.co.uk, 01803 200399,: http://www.almythomas.co.uk,427890
ALTAF SOLICITORS,HO,227 Manningham LaneBD8 7HH,01274 400405,,info@altafsolicitors.co.uk, 01274 400342,,490202
AMANDA SHAW SOLICITORS,HO,1 Mill LaneRH13 8JU,01403 710 742,,amanda@amandashaw.co.uk, 01403 713 081,: http://www.amandashaw.co.uk,524628
AMOSU ROBINSHAW SOLICITORS,HO,Charter HouseCR0 2RE,0208 688 2573,,dipali@amosurobinshaw.co.uk, 0208 760 9239,,367159
ANDREW STORCH,HO,7 Barrington WayRG1 6EG,0118 958 4407,,storch@freenet.co.uk, 0118 958 4407,: http://www.andrewstorch.co.uk,209979
ANDREW THOMPSON & CO,HO,Aspect CourtLS1 2NL,0113 383 5314,,andrew@agtlaw.co.uk, 0113 383 5315,: http://www.agtlaw.co.uk,423703
ANDREWS ANGEL SOLICITORS LIMITED,HO,1st FloorIG1 1DS,020 8911 9289,,info@andrewsangel.co.uk, 020 8911 9258,: http://www.andrewsangel.co.uk,469918
ANDREWS ANGEL SOLICITORS LIMITED,BRN,Second FloorDH1 3NU,0191 370 9890,,info@andrewsangel.co.uk, 0191 374 1425,: http://www.andrewsangel.co.uk,469919
ANGELA PORTER SOLICITORS,HO,10b Oxford RoadOX5 1AA,01865 841 414,,mail@angelaportersolicitors.com, 01865 841 515,,407443
ANN GIBBON & CO,HO,62 Crown RoadTW1 3EH,0208 891 2707,,anngibbon@f25.com, 0208 891 2707,,523588
ANNE WOODCOCK & CO,HO,20 London RoadAL1 1NP,01727 861212,,annew@annewoodcock.co.uk, 01727 864966,,288282
ANTHONY KING & CO,HO,Southgate HouseSS14 1BN,01268 240 400,,jcowdrey@anthonyking.co.uk, 01268 240424,: http://www.anthonyking.co.uk,70686
AP LAW SOLICITORS LTD,HO,Fourth FloorEC1N 2HA,020 7822 2180,,ap@aplaw.co.uk, 020 7797 6301,: http://www.aplaw.co.uk,486413
AP LAW SOLICITORS LTD,BRN,257 Balham High RoadSW17 7BD,020 8672 2617,,ap@aplaw.co.uk, 020 8767 8533,: http://www.aplaw.co.uk,486414
ARBIS LLP,HO,Marble QuayE1W 1UH,0207 481 2188,,london@arbisllp.com, 0207 481 4622,: http://www.arbisllp.com,518315
ARNDALE SOLICITORS,HO,1 Kelsall AvenueLS6 1RB,0113 2431 280,,operations@sra.org.uk, 0113 2431 156,,487374
ARORA LODHI HEATH,HO,170 High StreetW3 6QZ,020 8993 9995,,operations@sra.org.uk, 020 8992 2628,: http://www.alhsolicitors.com,72102
ARORA LODHI HEATH,BRN,Winchester HouseNW1 5RA,020 7170 4180,,alh@lawyer.com, 020 7424 9627,: http://www.alhsolicitors.com,408437
ARTHUR BARNES & CO,HO,1st FloorEC1V 2PY,020 7278 3046,,info@arthurbarnes.co.uk, 020 7812 1446,: http://www.arthurbarnes.co.uk,459995
ASB ASPIRE LIMITED LIABILITY PARTNERSHIP,HO,Westbrook HouseME14 5DZ,01622 356 000,,info@asb-aspire.com, 01622 356 099,: http://www.asb-aspire.com,464040
ASB ASPIRE LIMITED LIABILITY PARTNERSHIP,BRN,Innovis HouseRH10 1AS,01293 603603,,info@asb-aspire.com, 01293 603666,: http://www.asb-aspire.com,497217
